Release Date,Time,Actual,Forecast,Previous
20-Nov-13,3:00,0.51M,-0.50M,0.60M
14-Nov-13,3:00,0.60M,1.80M,0.87M
6-Nov-13,3:00,0.87M,2.50M,5.90M
30-Oct-13,2:00,5.90M,3.50M,3.00M
23-Oct-13,2:00,3.00M,3.00M,5.90M
17-Oct-13,2:00,5.90M,2.25M,2.76M
9-Oct-13,2:00,2.76M,2.20M,-
2-Oct-13,2:00,4.50M,2.40M,-
18-Sep-13,2:00,-0.30M,-1.50M,-2.90M
10-Jul-13,2:00,-8.97M,-3.80M,-9.36M
3-Jul-13,2:00,-9.36M,-2.68M,-0.03M
26-Jun-13,2:00,-0.03M,-2.00M,-4.29M
19-Jun-13,2:00,-4.29M,-0.62M,8.97M
12-Jun-13,2:00,8.97M,1.30M,-7.79M
5-Jun-13,2:00,-7.79M,-0.17M,4.40M
30-May-13,2:00,4.40M,-1.13M,0.53M
22-May-13,2:00,0.53M,-0.36M,1.11M
15-May-13,2:00,1.11M,0.20M,0.68M
8-May-13,2:00,0.68M,1.83M,5.18M
1-May-13,2:00,5.18M,0.85M,-0.85M
24-Apr-13,2:00,-0.85M,1.57M,-6.66M
17-Apr-13,2:00,-6.66M,1.35M,5.06M
10-Apr-13,2:00,5.06M,1.47M,4.71M
3-Apr-13,2:00,4.71M,2.25M,3.74M
27-Mar-13,2:00,3.74M,0.71M,-0.41M
20-Mar-13,2:00,-0.41M,1.95M,-1.38M
13-Mar-13,2:00,-1.38M,2.34M,5.60M
6-Mar-13,3:00,5.60M,0.69M,0.90M
27-Feb-13,3:00,0.90M,2.28M,2.96M
21-Feb-13,3:00,2.96M,2.35M,-2.31M
13-Feb-13,3:00,-2.31M,2.35M,3.63M
6-Feb-13,3:00,3.63M,2.75M,4.16M
30-Jan-13,3:00,4.16M,2.60M,3.17M
24-Jan-13,3:00,3.17M,2.10M,0.05M
16-Jan-13,3:00,0.05M,2.03M,2.36M
9-Jan-13,3:00,2.36M,-0.25M,-12.03M
4-Jan-13,3:00,-12.03M,-0.63M,-1.17M
,,,,
,,,,
,,,,
