Release Date,Time,Actual,Forecast,Previous
16-Jun-21,2:00,-8.537M,-3.000M,-2.108M
9-Jun-21,2:00,-2.108M,-3.576M,-5.360M
3-Jun-21,2:00,-5.360M,-2.114M,-0.439M
26-May-21,2:00,-0.439M,-1.279M,0.620M
19-May-21,2:00,0.620M,1.680M,-2.533M
12-May-21,2:00,-2.533M,-2.250M,-7.688M
5-May-21,2:00,-7.688M,-2.191M,4.319M
28-Apr-21,2:00,4.319M,0.375M,0.436M
21-Apr-21,2:00,0.436M,-2.860M,-3.608M
14-Apr-21,2:00,-3.608M,-2.154M,-2.618M
7-Apr-21,2:00,-2.618M,-1.325M,3.910M
31-Mar-21,2:00,3.910M,0.400M,2.927M
24-Mar-21,2:00,2.927M,-0.900M,-1.000M
17-Mar-21,2:00,-1.000M,2.715M,12.792M
10-Mar-21,3:00,12.792M,-0.833M,7.356M
3-Mar-21,3:00,7.356M,-1.850M,1.026M
24-Feb-21,3:00,1.026M,-5.372M,-5.800M
18-Feb-21,3:00,-5.800M,-2.175M,-3.500M
10-Feb-21,3:00,-3.500M,1.340M,-4.261M
3-Feb-21,3:00,-4.261M,0.367M,-5.272M
27-Jan-21,3:00,-5.272M,0.603M,2.562M
21-Jan-21,3:00,2.562M,-0.300M,-5.821M
13-Jan-21,3:00,-5.821M,-2.700M,-1.663M
6-Jan-21,3:00,-1.663M,-1.500M,-4.785M
30-Dec-20,3:00,-4.785M,-2.100M,2.700M
23-Dec-20,3:00,2.700M,-3.250M,1.973M
16-Dec-20,3:00,1.973M,-3.500M,1.141M
9-Dec-20,3:00,1.141M,-1.514M,4.146M
2-Dec-20,3:00,4.146M,-2.272M,3.800M
25-Nov-20,3:00,3.800M,-0.333M,4.174M
18-Nov-20,3:00,4.174M,1.950M,-5.147M
11-Nov-20,3:00,-5.147M,-0.900M,-8.010M
4-Nov-20,3:00,-8.010M,-0.600M,4.577M
28-Oct-20,2:00,4.577M,1.200M,0.584M
21-Oct-20,2:00,0.584M,-1.900M,-5.422M
15-Oct-20,2:00,-5.422M,-2.300M,0.951M
7-Oct-20,2:00,0.951M,0.400M,-0.831M
30-Sep-20,2:00,-0.831M,1.400M,0.691M
23-Sep-20,2:00,0.691M,-4.000M,-9.517M
16-Sep-20,2:00,-9.517M,2.049M,2.970M
10-Sep-20,2:00,2.970M,-,-6.360M
2-Sep-20,2:00,-6.360M,-1.950M,-4.524M
26-Aug-20,2:00,-4.524M,-4.300M,-4.264M
19-Aug-20,2:00,-4.264M,-2.900M,-4.400M
12-Aug-20,2:00,-4.400M,-3.200M,-8.587M
5-Aug-20,2:00,-8.587M,-3.300M,-6.829M
29-Jul-20,2:00,-6.829M,-1.200M,7.544M
22-Jul-20,2:00,7.544M,-1.900M,-8.322M
15-Jul-20,2:00,-8.322M,-2.100M,2.000M
8-Jul-20,2:00,2.000M,-3.700M,-8.156M
1-Jul-20,2:00,-8.156M,-2.700M,1.749M
24-Jun-20,2:00,1.749M,0.300M,3.900M
17-Jun-20,2:00,3.900M,-,8.400M
10-Jun-20,2:00,8.400M,-,-0.500M
3-Jun-20,2:00,-0.500M,-,8.700M
28-May-20,2:00,8.700M,-,-4.800M
20-May-20,2:00,-4.800M,2.400M,7.580M
13-May-20,2:00,7.580M,5.000M,8.400M
6-May-20,2:00,8.400M,-,10.000M
29-Apr-20,2:00,10.000M,-,13.226M
22-Apr-20,2:00,13.226M,-,13.143M
15-Apr-20,2:00,13.143M,-,11.938M
8-Apr-20,2:00,11.938M,9.300M,10.485M
1-Apr-20,2:00,10.485M,-,-1.250M
25-Mar-20,2:00,-1.250M,-,-0.421M
18-Mar-20,2:00,-0.421M,-,6.407M
11-Mar-20,2:00,6.407M,-,1.690M
4-Mar-20,3:00,1.690M,-,1.300M
26-Feb-20,3:00,1.300M,-,4.200M
20-Feb-20,3:00,4.200M,-,6.000M
12-Feb-20,3:00,6.000M,-,4.180M
5-Feb-20,3:00,4.180M,-,-4.270M
30-Jan-20,3:00,-4.267M,-,1.600M
23-Jan-20,3:00,1.600M,-,1.100M
15-Jan-20,3:00,1.100M,-,-5.945M
